numero_boletim,datahora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,data_alteracao_smsa,valor_ups_antiga,descricao_ups_antiga
8756,01/01/201503:53,17/03/201500:00,H08002,CHOQUEMECANICOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,24,OESTE,PMMG,NÃOINFORMADO,0,0060666614.00,0079593865.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
17625,01/01/201506:25,17/03/201500:00,H08002,CHOQUEMECANICOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,26,VENDANOVA,PMMG,NÃOINFORMADO,0,0060659358.00,0080828572.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
18002,01/01/201506:58,17/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,25,PAMPULHA,PMMG,NÃOINFORMADO,0,0060942867.00,0080254983.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
20462,01/01/201507:27,17/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,19,CENTRO-SUL,PMMG,NÃOINFORMADO,0,0061026649.00,0079608837.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
34858,01/01/201515:30,17/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,26,VENDANOVA,PMMG,NÃOINFORMADO,0,0060903235.00,0080824585.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
35499,01/01/201515:47,17/03/201500:00,H06002,ATROPELAMENTODEPESSOASEMVITIMAFATAL,0,NAOINFORMADO,0,NAOINFORMADO,22,NOROESTE,PMMG,NÃOINFORMADO,0,0060381313.00,0079993174.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
36270,01/01/201515:49,17/03/201500:00,H06002,ATROPELAMENTODEPESSOASEMVITIMAFATAL,0,NAOINFORMADO,0,NAOINFORMADO,24,OESTE,PMMG,NÃOINFORMADO,0,0060780674.00,0079412559.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
39415,01/01/201517:44,17/03/201500:00,H08002,CHOQUEMECANICOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,20,LESTE,PMMG,NÃOINFORMADO,0,0061621198.00,0079904408.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
44280,01/01/201516:43,17/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,22,NOROESTE,PMMG,NÃOINFORMADO,0,0061450772.00,0080195080.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
53882,01/01/201520:15,17/03/201500:00,H09002,COLISAODEVEICULOSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,20,LESTE,POLICIACIVIL,NÃOINFORMADO,0,0061486522.00,0079952483.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
53895,01/01/201521:52,17/03/201500:00,H06002,ATROPELAMENTODEPESSOASEMVITIMAFATAL,0,NAOINFORMADO,0,NAOINFORMADO,19,CENTRO-SUL,PMMG,NÃOINFORMADO,0,0000000000.00,0000000000.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
139333,03/01/201509:14,17/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,22,NOROESTE,PMMG,NÃOINFORMADO,0,0060644206.00,0079844500.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1515562,21/01/201508:23,19/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,23,NORTE,PMMG,NÃOINFORMADO,0,0061039689.00,0080619819.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
2206362,27/01/201508:30,19/03/201500:00,H04000,QUEDADEPESSOADEVEICULO,0,NAOINFORMADO,0,NAOINFORMADO,23,NORTE,POLICIACIVIL,NÃOINFORMADO,0,0061005390.00,0080832079.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1567872,21/01/201518:19,19/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,20,LESTE,PMMG,NÃOINFORMADO,0,0061316052.00,0079662606.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1569724,21/01/201519:38,19/03/201500:00,H09002,COLISAODEVEICULOSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,18,BARREIRO,PMMG,NÃOINFORMADO,0,0060048374.00,0078674223.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1570114,21/01/201518:18,19/03/201500:00,H09002,COLISAODEVEICULOSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,26,VENDANOVA,PMMG,NÃOINFORMADO,0,0060631863.00,0081126356.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1571764,21/01/201518:39,19/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,19,CENTRO-SUL,PMMG,NÃOINFORMADO,0,0061145006.00,0079395782.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1573672,21/01/201521:19,19/03/201500:00,H01002,ABALROAMENTOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,18,BARREIRO,PMMG,NÃOINFORMADO,0,0060184099.00,0079062409.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1939749,27/01/201500:00,19/03/201500:00,H08002,CHOQUEMECANICOCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,25,PAMPULHA,PMMG,NÃOINFORMADO,0,0000000000.00,0000000000.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1940743,27/01/201502:42,19/03/201500:00,H09002,COLISAODEVEICULOSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,22,NOROESTE,PMMG,NÃOINFORMADO,0,0060629431.00,0079585070.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1949653,27/01/201508:27,19/03/201500:00,H09002,COLISAODEVEICULOSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,24,OESTE,PMMG,NÃOINFORMADO,0,0060867215.00,0079185337.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
1955782,27/01/201508:04,19/03/201500:00,H99002,OUTROSCOMVITIMA,0,NAOINFORMADO,0,NAOINFORMADO,24,OESTE,PMMG,NÃOINFORMADO,0,0000000000.00,0000000000.00,SIM,NÃO,5,ACIDENTECOMVÍTIMANÃOFATAL,00/00/0000,0,NÃOINFORMADO
